Image,Annotations
ade20k/ADE_train_00002256.jpg,ade20k/ADE_train_00002256_object.png
ade20k/ADE_train_00008404.jpg,ade20k/ADE_train_00008404_object.png
ade20k/ADE_val_00001638.jpg,ade20k/ADE_val_00001638_object.png
ade20k/ADE_train_00002261.jpg,ade20k/ADE_train_00002261_object.png
ade20k/ADE_train_00004492.jpg,ade20k/ADE_train_00004492_object.png
ade20k/ADE_val_00001073.jpg,ade20k/ADE_val_00001073_object.png
ade20k/ADE_val_00000970.jpg,ade20k/ADE_val_00000970_object.png
pascal/2008_003448.jpg,pascal/2008_003448_object.png
ade20k/ADE_train_00002519.jpg,ade20k/ADE_train_00002519_object.png
ade20k/ADE_train_00007684.jpg,ade20k/ADE_train_00007684_object.png
ade20k/ADE_train_00008800.jpg,ade20k/ADE_train_00008800_object.png
ade20k/ADE_train_00015451.jpg,ade20k/ADE_train_00015451_object.png
ade20k/ADE_train_00005491.jpg,ade20k/ADE_train_00005491_object.png
pascal/2009_002376.jpg,pascal/2009_002376_object.png
ade20k/ADE_train_00008383.jpg,ade20k/ADE_train_00008383_object.png
ade20k/ADE_train_00015543.jpg,ade20k/ADE_train_00015543_object.png
ade20k/ADE_train_00000456.jpg,ade20k/ADE_train_00000456_object.png
ade20k/ADE_train_00003029.jpg,ade20k/ADE_train_00003029_object.png
ade20k/ADE_train_00002255.jpg,ade20k/ADE_train_00002255_object.png
ade20k/ADE_train_00016545.jpg,ade20k/ADE_train_00016545_object.png
ade20k/ADE_train_00011819.jpg,ade20k/ADE_train_00011819_object.png
ade20k/ADE_train_00007023.jpg,ade20k/ADE_train_00007023_object.png
ade20k/ADE_val_00001906.jpg,ade20k/ADE_val_00001906_object.png
ade20k/ADE_train_00007033.jpg,ade20k/ADE_train_00007033_object.png
ade20k/ADE_val_00000376.jpg,ade20k/ADE_val_00000376_object.png
ade20k/ADE_train_00008367.jpg,ade20k/ADE_train_00008367_object.png
ade20k/ADE_train_00015542.jpg,ade20k/ADE_train_00015542_object.png
ade20k/ADE_train_00003033.jpg,ade20k/ADE_train_00003033_object.png
ade20k/ADE_train_00008347.jpg,ade20k/ADE_train_00008347_object.png
ade20k/ADE_train_00008376.jpg,ade20k/ADE_train_00008376_object.png
ade20k/ADE_train_00003022.jpg,ade20k/ADE_train_00003022_object.png
pascal/2010_003719.jpg,pascal/2010_003719_object.png
ade20k/ADE_train_00001947.jpg,ade20k/ADE_train_00001947_object.png
ade20k/ADE_train_00004496.jpg,ade20k/ADE_train_00004496_object.png
ade20k/ADE_train_00015407.jpg,ade20k/ADE_train_00015407_object.png
ade20k/ADE_train_00008668.jpg,ade20k/ADE_train_00008668_object.png
ade20k/ADE_val_00001575.jpg,ade20k/ADE_val_00001575_object.png
